iata,name,latitude, longitude
BCN,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846
MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264
PMI,Palma de Mallorca Airport,39.551701,2.73881
AGP,Málaga-Costa del Sol Airport,36.6749,-4.49911
LPA,Gran Canaria Airport,27.9319,-15.3866
TFS,Tenerife Sur Airport,28.0445,-16.5725
ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156
VLC,Valencia Airport,39.4893,-0.481625
SVQ,Sevilla Airport,37.417999,-5.89311
GRO,Girona-Costa Brava Airport,41.904639,2.761774
IBZ,Ibiza Airport,38.872898,1.37312
ACE,César Manrique-Lanzarote Airport,28.945499,-13.6052
BIO,Bilbao Airport,43.301102,-2.91061
FUE,Fuerteventura Airport,28.4527,-13.8638
MAH,Menorca Airport,39.862598,4.21865
SCQ,Santiago-Rosalía de Castro Airport,42.896301,-8.41514
TFN,Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499
XRY,Jerez Airport,36.744598,-6.06011
REU,Reus Airport,41.1474,1.16717
GRX,F.G.L. Airport Granada-Jaén Airport,37.188702,-3.77736
LEI,Almería Airport,36.843899,-2.3701
SDR,Seve Ballesteros-Santander Airport,43.427101,-3.82001
ZAZ,Zaragoza Airport,41.666199,-1.04155
EAS,San Sebastián Airport,43.356499,-1.79061
OVD,Asturias Airport,43.563599,-6.03462
VGO,Vigo Airport,42.2318,-8.62677
SPC,La Palma Airport,28.626499,-17.7556
MJV,San Javier Airport,37.775002,-0.812389
LCG,A Coru?a Airport,43.302101,-8.37726
VLL,Valladolid Airport,41.7061,-4.85194
ROZ,Rota Naval Station Airport,36.64519882,-6.349460125
VIT,Vitoria Airport,42.882801,-2.72447
TOJ,Madrid–Torrejón Airport / Torrejón Air Base,40.487875,-3.456808
PNA,Pamplona Airport,42.77,-1.64633
SLM,Salamanca Airport,40.952099,-5.50199
RGS,Burgos Airport,42.357601,-3.62076
LEU,Pirineus - la Seu d'Urgel Airport,42.3386,1.40917
ODB,Córdoba Airport,37.841999,-4.84888
RMU,Región de Murcia International Airport,37.803,-1.125
ILD,Lleida-Alguaire Airport,41.728185,0.535023
OZP,Moron Air Base,37.1749000549316,-5.615940094
CQM,Ciudad Real International Airport,38.856479,-3.969944
TEV,Teruel Airport,40.410269,-1.217366
GMZ,La Gomera Airport,28.0296,-17.2146
MLN,Melilla Airport,35.2798,-2.95626
CDT,Castellón-Costa Azahar Airport,40.213889,0.073333
ABC,Albacete Airport / Los Llanos Air Base,38.948502,-1.86352
BJZ,Badajoz Airport,38.8913,-6.82133
VDE,El Hierro Airport,27.8148,-17.8871
LEN,León Airport,42.589001,-5.65556
RJL,Logro?o-Agoncillo Airport,42.460953,-2.322235
JCU,Ceuta Heliport,35.892657,-5.306321
HSK,Huesca-Pirineos Airport,42.076099,-0.316667
